box_id,box_length_cm,box_width_cm,box_height_cm,material_type,thickness_mm,product_weight_kg,strength_score,strength_risk
371,32.0,16.0,4.5,standard_corrugated,3.2,2.49,48.1,High
372,22.5,41.0,22.0,corrugated,4.1,1.64,47.4,High
373,63.5,57.0,12.5,recycled_kraft,3.3,2.24,24.6,High
374,28.5,38.0,31.0,double_wall_corrugated,6.0,5.3,88.1,Low
375,43.0,20.5,39.0,corrugated,3.5,1.34,53.4,Medium
376,36.5,30.5,14.0,food_grade_cardboard,3.4,0.48,32.2,High
377,19.0,26.5,19.5,standard_corrugated,3.9,2.56,53.2,Medium
378,37.5,15.0,21.5,food_grade_cardboard,3.0,4.0,38.4,High
379,28.0,22.0,24.5,standard_corrugated,3.6,0.79,52.0,Medium
380,37.5,32.5,9.0,standard_corrugated,3.1,1.35,51.9,Medium
381,16.5,25.0,33.5,double_wall_corrugated,7.0,2.73,89.1,Low
382,26.5,29.5,20.5,standard_corrugated,3.3,1.08,52.3,Medium
383,47.5,32.5,19.0,double_wall_corrugated,5.3,5.58,82.3,Low
384,25.0,14.5,11.0,lightweight_cardboard,2.4,0.47,16.8,High
385,12.5,9.5,27.5,double_wall_corrugated,5.1,2.59,88.3,Low
386,44.5,17.5,22.5,heavy_duty_corrugated,5.7,4.18,100.0,Low
387,21.5,23.0,5.5,standard_corrugated,3.4,2.29,53.0,Medium
388,45.5,42.5,26.5,standard_corrugated,3.1,1.47,48.5,High
389,59.0,36.5,18.0,recycled_kraft,2.1,2.64,23.3,High
390,36.5,18.0,34.0,standard_corrugated,4.2,3.4,52.2,Medium
391,32.5,19.5,4.5,standard_corrugated,3.4,1.04,53.9,Medium
392,25.0,35.0,23.5,heavy_duty_corrugated,6.2,5.71,91.5,Low
393,46.0,21.5,14.5,recycled_kraft,2.8,0.51,29.2,High
394,19.0,30.5,41.0,corrugated,4.4,0.48,55.9,Medium
395,44.0,25.5,19.0,heavy_duty_corrugated,7.0,5.49,92.8,Low
396,20.5,22.5,21.0,corrugated,3.9,1.21,53.6,Medium
397,26.0,15.5,5.5,standard_corrugated,4.0,2.32,58.5,Medium
398,29.5,19.0,26.5,food_grade_cardboard,2.7,1.36,32.1,High
399,65.0,33.0,15.0,recycled_kraft,2.4,0.4,16.6,High
400,39.0,13.0,21.5,double_wall_corrugated,5.0,3.23,80.9,Low
401,34.0,15.5,15.0,corrugated,4.8,0.85,59.3,Medium
402,48.0,37.5,36.0,standard_corrugated,4.2,1.71,52.0,Medium
403,30.0,39.5,17.5,corrugated,4.1,0.78,45.3,High
404,43.5,57.5,10.5,recycled_kraft,2.0,1.73,21.1,High
405,15.5,26.0,20.5,double_wall_corrugated,6.5,2.73,94.4,Low
406,25.0,44.0,26.0,double_wall_corrugated,5.2,6.75,84.3,Low
407,23.5,27.0,10.5,standard_corrugated,4.4,2.23,55.1,Medium
408,44.5,22.5,17.0,standard_corrugated,3.4,2.17,49.0,High
409,30.0,37.5,28.0,lightweight_cardboard,2.2,0.94,15.0,High
410,34.5,21.0,6.5,standard_corrugated,4.4,1.05,53.7,Medium
411,35.5,34.0,15.0,food_grade_cardboard,2.5,2.19,37.4,High
412,16.5,25.0,33.5,double_wall_corrugated,7.0,2.73,92.1,Low
413,20.5,24.5,22.5,food_grade_cardboard,2.7,2.28,37.1,High
414,43.5,17.0,39.5,standard_corrugated,4.1,2.89,59.1,Medium
415,27.5,23.5,9.5,standard_corrugated,3.8,3.23,56.2,Medium
416,43.0,23.0,25.0,heavy_duty_corrugated,7.0,5.84,94.8,Low
417,30.0,19.0,26.5,standard_corrugated,3.3,2.15,51.7,Medium
418,29.5,49.5,18.5,recycled_kraft,2.8,1.82,26.9,High
419,28.0,19.0,11.0,double_wall_corrugated,5.1,3.66,79.5,Low
420,18.0,14.0,13.5,food_grade_cardboard,3.7,0.5,40.7,High
421,31.0,35.5,37.0,double_wall_corrugated,6.0,5.17,81.5,Low
422,33.0,16.0,22.0,food_grade_cardboard,3.8,1.15,43.2,High
423,24.0,27.5,19.5,double_wall_corrugated,5.7,4.97,83.7,Low
424,17.0,26.0,29.0,standard_corrugated,3.8,3.09,53.0,Medium
425,33.0,9.5,13.5,standard_corrugated,4.2,3.59,54.5,Medium
426,66.5,22.0,14.5,recycled_kraft,2.8,0.42,26.9,High
427,58.5,39.5,23.5,standard_corrugated,3.2,3.37,49.5,High
428,39.5,21.0,8.0,lightweight_cardboard,2.1,0.44,15.0,High
429,43.0,20.5,39.0,corrugated,3.5,1.34,48.6,High
430,28.0,13.5,9.0,double_wall_corrugated,5.3,3.37,78.3,Low
431,19.0,28.5,8.5,standard_corrugated,4.0,1.49,55.3,Medium
432,44.0,26.0,14.5,corrugated,4.0,0.99,56.9,Medium
433,35.5,25.5,14.5,double_wall_corrugated,6.7,2.9,87.9,Low
434,22.0,26.0,16.0,double_wall_corrugated,6.3,5.36,85.3,Low
435,29.0,25.0,23.5,standard_corrugated,3.3,1.7,52.2,Medium
436,28.5,15.5,28.5,food_grade_cardboard,2.8,2.15,33.5,High
437,21.5,21.0,6.5,standard_corrugated,4.3,1.89,57.0,Medium
438,32.5,23.5,24.0,double_wall_corrugated,6.6,4.4,92.2,Low
439,23.5,21.5,21.5,double_wall_corrugated,5.6,4.06,88.1,Low
440,50.5,16.5,11.0,standard_corrugated,3.4,0.72,56.5,Medium
441,24.5,21.5,24.0,standard_corrugated,3.1,1.58,51.2,Medium
442,42.0,27.0,26.5,double_wall_corrugated,5.4,5.93,82.4,Low
443,23.5,21.5,23.5,corrugated,4.7,0.98,55.7,Medium
444,14.0,25.0,21.5,double_wall_corrugated,5.8,3.24,94.7,Low
445,32.5,14.5,4.0,corrugated,4.1,0.54,51.1,Medium
446,28.0,28.5,27.5,corrugated,4.2,0.58,45.9,High
447,37.5,27.5,23.5,food_grade_cardboard,3.4,2.06,39.4,High
448,51.0,26.5,21.0,double_wall_corrugated,5.1,4.74,81.9,Low
449,35.0,28.0,40.5,heavy_duty_corrugated,7.1,4.81,88.1,Low
450,37.5,44.0,36.5,lightweight_cardboard,2.2,0.97,15.0,High
451,47.5,25.0,9.5,double_wall_corrugated,7.0,2.09,92.0,Low
452,28.5,28.0,15.0,corrugated,3.7,0.87,47.7,High
453,23.0,26.0,15.5,double_wall_corrugated,7.0,3.63,94.2,Low
454,35.5,25.0,6.5,standard_corrugated,4.4,2.22,57.2,Medium
455,36.0,34.0,15.5,recycled_kraft,2.2,0.54,27.9,High
456,26.0,34.5,18.0,food_grade_cardboard,3.2,1.6,33.1,High
457,30.0,43.0,16.0,standard_corrugated,4.4,2.77,57.1,Medium
458,31.5,22.5,8.5,standard_corrugated,4.3,1.14,55.6,Medium
459,27.5,14.5,36.0,double_wall_corrugated,6.6,2.26,94.6,Low
460,50.0,35.5,11.0,standard_corrugated,3.9,2.35,55.3,Medium
461,38.5,20.0,15.5,standard_corrugated,4.4,2.34,52.0,Medium
462,23.5,21.5,21.5,double_wall_corrugated,6.2,4.11,92.8,Low
463,20.0,28.5,6.5,standard_corrugated,4.3,2.26,53.4,Medium
464,24.5,20.0,5.5,standard_corrugated,4.1,2.45,57.2,Medium
465,26.5,21.0,7.5,standard_corrugated,3.8,2.54,54.1,Medium
466,57.0,20.5,20.5,standard_corrugated,3.5,1.15,58.3,Medium
467,32.0,24.5,11.0,standard_corrugated,3.3,1.4,50.2,Medium
468,29.5,27.5,6.5,standard_corrugated,4.1,1.93,53.7,Medium
469,20.5,26.5,18.5,food_grade_cardboard,3.8,3.41,36.9,High
470,19.5,21.5,8.0,standard_corrugated,3.3,1.96,49.3,High
471,13.5,23.0,10.0,corrugated,4.5,0.25,57.0,Medium
472,11.5,13.5,16.5,food_grade_cardboard,3.3,0.97,30.1,High
473,39.5,21.0,8.0,lightweight_cardboard,2.1,0.44,15.0,High
474,30.5,49.5,9.0,recycled_kraft,3.3,2.71,25.9,High
475,24.5,49.5,10.5,recycled_kraft,3.3,0.45,35.1,High
476,63.5,33.0,12.0,recycled_kraft,2.2,1.16,31.2,High
477,26.5,18.5,33.5,standard_corrugated,3.3,1.37,50.0,Medium
478,24.5,15.0,27.0,double_wall_corrugated,5.6,2.7,85.9,Low
479,31.0,30.0,17.5,heavy_duty_corrugated,5.8,4.39,91.7,Low
480,15.5,41.5,30.5,heavy_duty_corrugated,6.6,4.89,99.8,Low
481,19.0,15.0,4.5,lightweight_cardboard,1.8,0.76,15.0,High
482,47.0,37.5,31.5,standard_corrugated,4.2,1.14,53.6,Medium
483,38.5,20.0,15.5,standard_corrugated,4.4,2.34,59.6,Medium
484,34.0,17.0,24.5,corrugated,4.0,0.99,51.3,Medium
485,25.0,24.5,41.5,standard_corrugated,3.3,2.46,50.0,Medium
486,30.5,28.5,9.5,standard_corrugated,3.3,1.12,55.4,Medium
487,31.5,17.0,6.5,lightweight_cardboard,1.6,0.94,15.0,High
488,32.0,14.0,16.5,double_wall_corrugated,5.1,3.7,86.0,Low
489,35.5,31.0,26.5,corrugated,4.6,1.12,48.4,High
490,29.0,24.5,24.5,corrugated,4.9,0.67,46.3,High
491,27.5,28.0,16.0,double_wall_corrugated,5.1,3.71,85.4,Low
492,54.5,52.0,10.5,recycled_kraft,3.1,3.0,33.6,High
493,58.0,31.0,12.5,standard_corrugated,3.8,2.48,51.6,Medium
494,43.0,20.0,32.5,corrugated,4.1,0.54,52.6,Medium
495,31.5,12.0,12.5,double_wall_corrugated,6.8,4.02,97.4,Low
496,48.0,25.0,9.0,double_wall_corrugated,5.5,5.49,90.1,Low
497,38.0,42.0,29.0,double_wall_corrugated,5.9,7.73,91.4,Low
498,32.5,39.5,13.5,food_grade_cardboard,2.6,3.61,33.9,High
499,34.0,26.5,16.5,food_grade_cardboard,3.6,2.39,36.8,High
500,21.0,15.0,32.5,corrugated,4.5,0.94,45.8,High
501,54.0,33.0,14.0,recycled_kraft,3.1,0.36,28.1,High
502,38.0,28.0,31.5,standard_corrugated,4.0,3.25,48.7,High
503,24.5,28.0,31.5,double_wall_corrugated,5.8,3.98,95.0,Low
504,31.0,37.5,13.0,standard_corrugated,3.4,1.37,50.4,Medium
505,33.5,15.0,18.5,double_wall_corrugated,5.4,4.75,84.6,Low
506,19.5,29.5,31.0,standard_corrugated,3.2,0.81,52.2,Medium
507,46.0,20.0,7.0,heavy_duty_corrugated,5.7,4.86,91.2,Low
508,73.5,60.5,19.0,double_wall_corrugated,6.8,2.69,96.2,Low
509,28.0,22.0,24.5,standard_corrugated,3.6,0.79,49.8,High
510,32.0,15.0,22.0,double_wall_corrugated,6.3,3.96,90.0,Low
511,14.0,31.5,37.5,standard_corrugated,4.4,3.58,51.9,Medium
512,18.5,30.0,28.0,food_grade_cardboard,3.3,2.49,29.6,High
513,16.5,10.5,18.0,double_wall_corrugated,5.2,4.13,79.0,Low
514,43.5,16.5,30.5,heavy_duty_corrugated,6.5,6.32,93.9,Low
515,21.0,37.0,20.0,food_grade_cardboard,2.8,1.54,31.2,High
516,19.0,33.5,6.5,standard_corrugated,3.1,0.87,48.3,High
517,43.0,11.0,26.5,lightweight_cardboard,1.9,0.64,15.0,High
518,29.5,16.0,10.5,food_grade_cardboard,2.6,0.84,33.1,High
519,27.5,37.0,21.0,heavy_duty_corrugated,7.2,6.68,91.2,Low
520,21.0,36.0,20.0,corrugated,4.0,1.92,51.8,Medium
521,27.5,20.5,10.5,standard_corrugated,4.3,2.12,55.9,Medium
522,17.5,15.0,6.5,standard_corrugated,3.9,3.31,43.7,High
523,24.0,39.5,16.0,food_grade_cardboard,3.0,0.74,33.1,High
524,18.0,33.0,32.0,double_wall_corrugated,6.5,4.06,87.0,Low
525,15.5,21.0,36.5,standard_corrugated,3.4,2.18,52.1,Medium
526,20.5,17.5,5.0,lightweight_cardboard,2.3,0.85,17.3,High
527,62.0,19.5,17.5,recycled_kraft,3.1,3.7,20.7,High
528,18.0,16.0,36.5,standard_corrugated,4.3,2.99,55.3,Medium
529,34.0,17.0,24.5,corrugated,4.0,0.99,48.7,High
530,20.0,18.5,22.0,heavy_duty_corrugated,6.8,4.09,99.0,Low
531,37.0,40.5,9.0,standard_corrugated,3.1,1.46,50.6,Medium
532,30.5,26.0,7.0,standard_corrugated,3.4,2.26,48.3,High
533,44.5,35.0,13.5,heavy_duty_corrugated,7.3,4.02,97.8,Low
534,34.5,45.5,8.5,recycled_kraft,2.4,3.22,22.3,High
535,19.5,23.0,12.0,standard_corrugated,3.5,1.49,56.5,Medium
536,39.5,30.5,9.0,heavy_duty_corrugated,7.0,4.49,97.9,Low
537,36.5,28.0,19.0,recycled_kraft,2.4,1.94,33.0,High
538,35.0,20.5,6.0,standard_corrugated,3.4,1.52,51.7,Medium
539,44.0,10.5,29.0,heavy_duty_corrugated,7.3,5.57,95.9,Low
540,12.5,41.5,24.0,heavy_duty_corrugated,6.6,5.0,89.3,Low
541,42.0,35.5,14.5,recycled_kraft,2.5,3.22,18.1,High
542,19.0,20.0,9.5,food_grade_cardboard,3.0,3.46,25.6,High
543,51.5,44.5,12.5,recycled_kraft,2.1,2.93,24.2,High
544,44.0,20.5,33.0,standard_corrugated,3.6,1.67,52.8,Medium
545,41.0,21.0,23.0,double_wall_corrugated,5.7,3.55,79.8,Low
546,43.5,22.0,18.0,standard_corrugated,3.8,3.36,55.5,Medium
547,41.5,33.0,17.0,heavy_duty_corrugated,6.8,4.44,94.3,Low
548,53.5,27.5,13.0,recycled_kraft,2.3,2.34,25.5,High
549,58.0,36.0,8.5,recycled_kraft,2.9,2.83,34.4,High
550,65.0,33.0,15.0,recycled_kraft,2.4,0.4,28.7,High
551,34.0,31.5,18.0,double_wall_corrugated,6.7,4.66,89.6,Low
552,37.5,15.0,21.5,food_grade_cardboard,3.0,4.0,29.2,High
553,23.0,21.0,10.0,lightweight_cardboard,1.7,0.75,15.0,High
554,46.0,27.0,26.5,corrugated,5.0,1.3,49.8,High
555,15.5,29.0,19.5,standard_corrugated,3.1,3.1,47.9,High
556,40.5,15.5,36.5,corrugated,3.6,0.95,42.6,High
557,13.5,22.5,30.5,food_grade_cardboard,3.4,1.94,35.6,High
558,22.0,16.5,37.0,double_wall_corrugated,6.4,2.61,90.8,Low
559,30.0,27.0,11.0,lightweight_cardboard,1.5,0.37,15.0,High
560,43.5,29.0,34.5,double_wall_corrugated,5.7,3.29,82.5,Low
561,63.5,50.0,9.5,recycled_kraft,2.6,3.98,26.1,High
562,39.5,14.0,36.5,corrugated,4.4,0.88,52.6,Medium
563,19.0,28.5,22.0,double_wall_corrugated,5.3,2.86,80.5,Low
564,63.5,33.0,12.0,recycled_kraft,2.2,1.16,30.0,High
565,31.0,27.5,31.0,heavy_duty_corrugated,7.3,4.08,98.2,Low
566,26.5,28.5,6.5,standard_corrugated,4.2,2.22,55.4,Medium
567,26.0,21.0,30.5,standard_corrugated,3.2,3.6,51.6,Medium
568,22.5,36.0,37.5,double_wall_corrugated,5.1,4.6,83.2,Low
569,69.0,29.5,9.0,recycled_kraft,3.1,0.9,33.4,High
570,28.5,50.0,18.5,recycled_kraft,2.3,2.51,25.4,High
571,17.0,10.5,19.5,corrugated,4.4,0.42,50.6,Medium
572,23.0,18.5,19.0,corrugated,5.0,1.51,55.9,Medium
573,18.5,22.5,27.5,double_wall_corrugated,5.9,3.04,83.2,Low
574,28.5,20.5,23.5,corrugated,3.8,0.44,49.1,High
575,31.0,33.0,22.0,food_grade_cardboard,2.6,2.15,30.9,High
576,19.5,30.0,27.5,standard_corrugated,4.0,1.15,53.2,Medium
577,23.0,29.0,18.0,corrugated,3.6,1.44,46.7,High
578,53.0,19.5,14.5,recycled_kraft,3.3,2.38,22.6,High
579,19.0,16.5,17.0,corrugated,4.7,2.0,50.3,Medium
580,9.0,34.5,9.0,double_wall_corrugated,6.1,3.98,87.0,Low
581,41.0,51.5,19.5,double_wall_corrugated,5.2,2.09,83.7,Low
582,35.0,20.5,6.0,standard_corrugated,3.4,1.52,47.9,High
583,44.0,54.0,15.5,recycled_kraft,2.9,1.86,32.0,High
584,37.0,12.5,9.0,double_wall_corrugated,6.1,2.2,86.1,Low
585,45.0,26.0,26.5,standard_corrugated,3.8,3.88,54.9,Medium
586,32.0,25.0,19.5,double_wall_corrugated,6.9,3.72,93.9,Low
587,51.5,25.0,16.5,recycled_kraft,3.4,2.13,27.7,High
588,42.0,35.5,7.0,double_wall_corrugated,6.0,2.24,96.4,Low
589,31.0,22.0,9.5,standard_corrugated,3.7,1.62,48.4,High
590,34.5,25.5,21.0,corrugated,4.7,1.88,55.7,Medium
591,38.0,9.0,10.5,heavy_duty_corrugated,6.5,5.11,97.0,Low
592,44.0,29.5,15.5,recycled_kraft,2.9,3.87,24.4,High
593,63.0,43.0,10.0,recycled_kraft,2.0,0.65,29.0,High
594,21.0,29.5,6.0,lightweight_cardboard,1.8,0.47,15.0,High
595,31.5,27.0,5.0,standard_corrugated,3.9,1.94,55.4,Medium
596,24.0,23.5,28.5,standard_corrugated,3.4,2.6,51.3,Medium
597,51.0,26.5,21.0,double_wall_corrugated,5.1,4.74,81.8,Low
598,20.5,17.5,5.0,lightweight_cardboard,2.3,0.85,15.2,High
599,20.0,27.0,15.0,food_grade_cardboard,3.4,1.05,40.1,High
600,60.5,34.5,10.5,corrugated,3.9,0.41,41.4,High
601,19.5,27.0,7.5,standard_corrugated,4.5,0.8,63.3,Medium
602,35.0,23.5,25.0,standard_corrugated,3.2,0.85,43.1,High
603,32.5,21.0,9.0,standard_corrugated,4.4,0.37,61.9,Medium
604,23.5,19.5,4.5,standard_corrugated,3.6,2.42,55.7,Medium
605,37.5,15.5,35.0,double_wall_corrugated,6.6,4.24,86.1,Low
606,41.5,29.5,32.0,double_wall_corrugated,6.2,4.27,85.9,Low
607,19.5,27.0,7.5,standard_corrugated,4.5,0.8,53.7,Medium
608,27.0,26.5,14.5,double_wall_corrugated,5.3,3.21,83.9,Low
609,56.0,18.5,27.0,standard_corrugated,4.4,3.4,53.1,Medium
610,32.5,31.0,31.0,standard_corrugated,4.5,2.84,57.9,Medium
611,19.0,33.5,6.5,standard_corrugated,3.1,0.87,56.3,Medium
612,24.0,17.5,28.5,food_grade_cardboard,2.7,2.68,37.5,High
613,44.5,43.5,24.5,double_wall_corrugated,5.3,4.11,80.5,Low
614,38.5,44.0,18.0,corrugated,3.7,1.11,45.6,High
615,39.0,18.0,15.0,food_grade_cardboard,3.6,2.12,30.2,High
616,44.0,26.0,18.0,food_grade_cardboard,3.6,3.89,32.3,High
617,45.5,38.5,21.5,heavy_duty_corrugated,7.1,7.51,100.0,Low
618,40.5,35.5,23.0,double_wall_corrugated,6.7,4.58,96.6,Low
619,46.0,30.5,30.5,double_wall_corrugated,5.3,4.63,77.8,Low
620,17.0,37.5,14.0,food_grade_cardboard,3.6,1.51,35.1,High
621,29.5,49.5,18.5,recycled_kraft,2.8,1.82,26.8,High
622,38.0,41.0,17.0,double_wall_corrugated,6.5,3.39,91.1,Low
623,36.5,33.0,18.0,double_wall_corrugated,6.4,4.89,85.8,Low
624,27.5,26.5,6.0,standard_corrugated,3.7,1.66,55.0,Medium
625,30.0,38.5,7.5,recycled_kraft,2.8,2.16,26.4,High
626,23.5,23.5,10.5,corrugated,4.4,1.23,51.9,Medium
627,38.0,16.5,27.5,heavy_duty_corrugated,7.4,5.64,100.0,Low
628,32.5,26.5,37.5,standard_corrugated,4.1,3.47,52.6,Medium
629,28.5,44.5,32.0,standard_corrugated,4.4,2.54,52.2,Medium
630,35.0,23.5,13.0,recycled_kraft,2.4,2.84,25.1,High
631,35.5,25.5,14.5,double_wall_corrugated,6.7,2.9,91.5,Low
632,26.0,23.5,7.5,standard_corrugated,3.2,2.25,48.6,High
633,34.0,22.0,13.0,double_wall_corrugated,5.5,3.42,84.6,Low
634,30.5,26.0,7.0,standard_corrugated,3.4,2.26,57.7,Medium
635,33.0,25.0,20.5,standard_corrugated,4.3,1.38,57.6,Medium
636,27.5,25.5,28.0,double_wall_corrugated,5.7,2.9,85.2,Low
637,33.5,28.5,31.5,corrugated,4.3,0.72,52.4,Medium
638,26.0,11.5,27.5,food_grade_cardboard,2.6,3.23,29.9,High
639,62.5,38.5,14.5,recycled_kraft,3.5,3.95,34.2,High
640,26.0,21.0,11.0,standard_corrugated,3.4,1.95,52.7,Medium
641,54.0,36.5,12.0,recycled_kraft,3.2,2.01,28.8,High
642,25.5,9.5,15.0,double_wall_corrugated,5.0,5.05,81.8,Low
643,54.0,33.0,14.0,recycled_kraft,3.1,0.36,22.8,High
644,24.0,25.5,18.0,recycled_kraft,2.1,1.9,20.0,High
645,28.5,32.0,24.5,double_wall_corrugated,6.9,5.14,86.6,Low
646,40.0,16.0,19.0,double_wall_corrugated,5.9,4.26,87.7,Low
647,56.0,12.0,33.5,standard_corrugated,4.1,1.41,60.9,Medium
648,26.5,44.5,11.5,double_wall_corrugated,5.6,4.18,94.8,Low
649,28.5,50.0,18.5,recycled_kraft,2.3,2.51,26.8,High
650,59.0,42.0,12.5,recycled_kraft,2.1,0.56,25.6,High
651,33.0,15.0,10.0,standard_corrugated,4.4,1.99,49.0,High
652,17.5,29.5,22.5,double_wall_corrugated,5.9,3.78,85.1,Low
653,25.0,14.5,11.0,lightweight_cardboard,2.4,0.47,15.0,High
654,53.5,24.0,24.0,double_wall_corrugated,6.8,3.06,88.8,Low
655,16.5,22.5,17.0,double_wall_corrugated,6.0,5.26,85.3,Low
656,36.5,27.5,33.5,double_wall_corrugated,5.1,3.53,80.6,Low
657,20.0,15.0,39.5,standard_corrugated,3.6,1.5,44.3,High
658,16.0,30.0,39.0,lightweight_cardboard,2.4,0.28,15.0,High
659,50.5,23.0,14.5,standard_corrugated,4.1,0.44,50.5,Medium
660,35.0,37.0,25.0,standard_corrugated,3.2,1.84,49.5,High
661,20.0,31.5,29.5,double_wall_corrugated,6.9,4.97,99.8,Low
662,20.0,16.5,10.0,lightweight_cardboard,2.0,0.87,15.0,High
663,54.5,41.0,29.0,corrugated,5.0,1.78,41.0,High
664,18.5,21.0,5.5,double_wall_corrugated,5.8,2.02,86.4,Low
665,57.5,35.0,36.0,double_wall_corrugated,6.3,5.14,91.1,Low
666,39.0,16.0,17.0,standard_corrugated,3.0,2.48,56.6,Medium
667,29.0,31.5,25.0,standard_corrugated,4.5,0.45,51.3,Medium
668,43.0,16.5,24.0,corrugated,4.6,0.56,54.2,Medium
669,15.0,36.0,25.5,corrugated,4.5,1.37,49.8,High
670,34.0,24.5,15.5,food_grade_cardboard,2.5,1.46,31.2,High
671,44.0,33.0,33.0,double_wall_corrugated,5.4,2.01,94.3,Low
672,15.0,36.0,42.0,standard_corrugated,3.6,0.81,45.6,High
673,29.5,59.0,19.0,recycled_kraft,3.3,3.27,29.7,High
674,16.5,15.0,36.0,standard_corrugated,4.3,2.75,57.0,Medium
675,26.0,22.0,8.0,standard_corrugated,3.6,2.01,56.6,Medium
676,53.0,53.5,6.5,recycled_kraft,3.4,1.04,31.5,High
677,50.5,13.0,13.0,double_wall_corrugated,6.1,3.01,90.4,Low
678,22.0,18.0,25.5,corrugated,4.5,0.92,50.7,Medium
679,42.0,21.0,31.5,corrugated,5.0,1.52,54.1,Medium
680,30.0,21.5,8.5,standard_corrugated,4.2,2.52,53.5,Medium
681,58.5,44.5,25.5,double_wall_corrugated,5.3,5.42,84.4,Low
682,37.5,23.0,7.0,double_wall_corrugated,6.5,3.72,89.2,Low
683,28.0,26.0,15.0,corrugated,3.8,1.16,50.0,Medium
684,20.5,33.0,10.0,food_grade_cardboard,2.6,0.39,33.5,High
685,59.5,31.0,9.5,recycled_kraft,2.1,1.63,28.9,High
686,29.5,21.0,7.0,standard_corrugated,4.1,2.11,54.5,Medium
687,53.5,26.5,19.0,standard_corrugated,3.1,3.91,40.7,High
688,68.5,37.5,9.0,recycled_kraft,2.8,3.74,31.9,High
689,46.0,40.5,13.5,recycled_kraft,2.1,3.86,19.3,High
690,39.0,43.0,22.5,standard_corrugated,3.1,1.28,45.3,High
691,20.5,33.0,10.0,food_grade_cardboard,2.6,0.39,31.2,High
692,17.5,23.0,17.5,double_wall_corrugated,6.3,2.22,95.9,Low
693,33.5,22.5,7.5,standard_corrugated,3.9,1.23,46.1,High
694,19.0,19.5,29.5,standard_corrugated,4.2,3.39,66.6,Medium
695,27.5,17.0,12.0,standard_corrugated,4.1,1.26,59.6,Medium
696,23.0,18.5,28.0,standard_corrugated,3.4,0.4,52.8,Medium
697,40.0,19.5,33.5,double_wall_corrugated,5.2,3.91,83.0,Low
698,26.0,36.0,11.5,food_grade_cardboard,2.9,1.49,35.0,High
699,28.5,12.0,10.0,standard_corrugated,4.3,1.04,58.8,Medium
700,23.0,14.0,9.5,food_grade_cardboard,3.3,1.63,38.4,High
701,15.5,20.5,37.0,double_wall_corrugated,5.3,3.02,87.1,Low
702,56.0,28.5,6.0,recycled_kraft,3.1,3.09,29.9,High
703,33.5,11.5,10.0,food_grade_cardboard,3.7,1.25,37.7,High
704,31.5,25.5,13.5,corrugated,3.7,0.42,47.9,High
705,54.5,43.0,18.5,recycled_kraft,3.2,3.54,26.8,High
706,40.5,34.5,30.0,heavy_duty_corrugated,6.7,4.86,99.3,Low
707,32.5,10.5,11.5,standard_corrugated,3.5,2.48,53.4,Medium
708,45.5,45.5,11.0,double_wall_corrugated,5.7,3.63,74.5,Low
709,30.0,27.0,6.0,lightweight_cardboard,1.5,0.84,15.0,High
710,17.0,20.5,20.0,heavy_duty_corrugated,7.0,4.33,97.8,Low
711,21.5,24.0,6.5,standard_corrugated,4.3,2.58,54.9,Medium
712,15.0,19.0,30.0,standard_corrugated,4.4,1.16,55.2,Medium
713,30.5,36.5,26.0,heavy_duty_corrugated,6.3,4.27,97.9,Low
714,32.5,26.5,8.5,standard_corrugated,4.1,1.01,59.4,Medium
715,32.0,27.5,9.0,standard_corrugated,4.1,1.11,52.4,Medium
716,29.0,37.5,15.5,recycled_kraft,2.7,1.06,29.2,High
717,37.0,43.5,9.0,corrugated,3.8,0.72,44.6,High
718,24.0,23.0,10.5,standard_corrugated,3.3,1.47,45.7,High
719,28.5,17.5,31.0,food_grade_cardboard,2.7,0.8,30.3,High
720,24.0,23.0,10.5,standard_corrugated,3.3,1.47,54.7,Medium
721,11.5,36.5,26.0,food_grade_cardboard,3.7,0.81,42.1,High
722,24.0,23.0,27.5,food_grade_cardboard,3.7,2.21,39.1,High
723,37.0,25.0,12.0,standard_corrugated,4.1,3.52,56.6,Medium
724,36.5,21.5,26.5,corrugated,4.6,0.69,53.9,Medium
725,11.0,30.0,31.5,corrugated,4.4,0.36,49.6,High
726,16.0,33.0,11.5,standard_corrugated,4.1,2.63,55.9,Medium
727,44.0,15.0,18.0,corrugated,4.1,1.32,53.1,Medium
728,29.5,21.5,9.0,standard_corrugated,4.0,1.66,57.6,Medium
729,16.0,22.5,15.0,double_wall_corrugated,6.8,2.39,97.4,Low
730,18.5,33.5,31.0,double_wall_corrugated,5.3,2.35,87.6,Low
731,45.0,23.0,23.5,heavy_duty_corrugated,7.0,4.44,98.5,Low
732,44.0,16.0,25.5,heavy_duty_corrugated,5.7,4.39,95.2,Low
733,31.5,25.5,13.5,corrugated,3.7,0.42,48.4,High
734,20.0,30.0,5.0,standard_corrugated,4.1,1.62,51.8,Medium
735,20.0,27.0,5.0,lightweight_cardboard,1.6,0.51,15.0,High
736,44.0,20.5,23.0,corrugated,3.5,1.09,43.2,High
737,46.5,18.5,26.5,food_grade_cardboard,3.7,0.41,34.6,High
738,38.5,45.5,37.0,heavy_duty_corrugated,7.2,6.27,95.6,Low
739,22.0,19.0,6.5,standard_corrugated,3.9,1.19,51.4,Medium
740,41.5,17.5,14.5,heavy_duty_corrugated,7.0,5.62,95.6,Low
741,38.5,22.0,12.0,recycled_kraft,2.1,2.74,16.6,High
